id,name,age,gender,height,weight,nationality,medals,games,biography,price,focus,sport,category
,,,,,,Russian Federation,1 G 1 S 1 B,6,,,Gymnastics Artistic,Team
,,,,,,Argentina,,2,,,Synchronized Swimming,Team
,,,,,,Czech Republic,1 B,2,,,Tennis,Team
,,,,,,Argentina,,1,,,Sailing,Team
,,,,,,Brazil,,2,,,Swimming,Team
,,,,,,Canada,,4,,,Beach Volleyball,Team
,,,,,,Egypt,,6,,,Handball,Team
,,,,,,Austria,,3,,,Table Tennis,Team
,,,,,,Germany,1 B,4,,,Diving,Team
,,,,,,Great Britain,,1,,,Sailing,Team
,,,,,,Croatia,1 G,3,,,Rowing,Team
,,,,,,Hungary,9 G 3 S 3 B,22,,,Water Polo,Team
,,,,,,New Zealand,1 G 2 S,7,,,Sailing,Team
,,,,,,Great Britain,4 S,10,,,Sailing,Team
,,,,,,Netherlands,1 B,6,,,Swimming,Team
,,,,,,Australia,,4,,,Badminton,Team
,,,,,,Great Britain,,1,,,Canoe Sprint,Team
,,,,,,Italy,,5,,,Volleyball,Team
,,,,,,Romania,1 G,2,,,Fencing,Team
,,,,,,Aruba,,1,,,Sailing,Team
,,,,,,Spain,,2,,,Sailing,Team
,,,,,,Poland,,7,,,Rowing,Team
,,,,,,Cuba,,5,,,Rowing,Team
,,,,,,United States of America,2 S,2,,,Cycling Track,Team
,,,,,,Russian Federation,1 S,6,,,Swimming,Team
,,,,,,Spain,,1,,,Rugby,Team
,,,,,,South Africa,,5,,,Swimming,Team
,,,,,,People's Republic of China,1 S 1 B,8,,,Basketball,Team
,,,,,,Canada,1 G 2 S 2 B,7,,,Athletics,Team
,,,,,,Germany,1 G 1 S 1 B,7,,,Handball,Team
,,,,,,Germany,1 S,1,,,Canoe Sprint,Team
,,,,,,Chile,,1,,,Sailing,Team
,,,,,,Australia,1 G 3 S 1 B,6,,,Swimming,Team
,,,,,,Brazil,,1,,,Rugby,Team
,,,,,,Poland,1 S,3,,,Rowing,Team
,,,,,,Ukraine,,1,,,Archery,Team
,,,,,,France,,1,,,Archery,Team
,,,,,,South Africa,,1,,,Rowing,Team
,,,,,,Hungary,2 S 2 B,14,,,Swimming,Team
,,,,,,India,8 G 1 S 2 B,20,,,Hockey,Team
,,,,,,Brazil,1 B,7,,,Sailing,Team
,,,,,,Nigeria,,2,,,Table Tennis,Team
,,,,,,Chinese Taipei,,4,,,Tennis,Team
,,,,,,Trinidad and Tobago,,3,,,Athletics,Team
,,,,,,Croatia,,2,,,Sailing,Team
,,,,,,Switzerland,,1,,,Sailing,Team
,,,,,,France,,2,,,Football,Team
,,,,,,Brazil,,1,,,Fencing,Team
,,,,,,Republic of Korea,1 G 2 S 3 B,7,,,Badminton,Team
,,,,,,Japan,2 G 3 S 3 B,14,,,Gymnastics Artistic,Team
,,,,,,Croatia,2 B,6,,,Tennis,Team
,,,,,,Czech Republic,,1,,,Canoe Sprint,Team
,,,,,,Argentina,,1,,,Sailing,Team
,,,,,,Romania,,1,,,Swimming,Team
,,,,,,Japan,,1,,,Rugby,Team
,,,,,,Australia,1 B,1,,,Swimming,Team
,,,,,,Canada,3 B,12,,,Swimming,Team
,,,,,,United States of America,11 G 2 S 2 B,23,,,Rowing,Team
,,,,,,Brazil,3 B,15,,,Basketball,Team
,,,,,,Republic of Korea,,8,,,Sailing,Team
,,,,,,Australia,2 G,8,,,Sailing,Team
,,,,,,United States of America,2 B,2,,,Fencing,Team
,,,,,,Russian Federation,,3,,,Beach Volleyball,Team
,,,,,,Republic of Korea,1 S 1 B,3,,,Table Tennis,Team
,,,,,,People's Republic of China,,6,,,Sailing,Team
,,,,,,Poland,,1,,,Canoe Sprint,Team
,,,,,,Australia,3 G,8,,,Hockey,Team
,,,,,,Australia,2 G 3 S 2 B,12,,,Cycling Track,Team
,,,,,,United States of America,,9,,,Rowing,Team
,,,,,,Germany,1 G 1 B,2,,,Cycling Track,Team
,,,,,,Kenya,,1,,,Rugby,Team
,,,,,,People's Republic of China,2 B,9,,,Swimming,Team
,,,,,,Brazil,,8,,,Water Polo,Team
,,,,,,Brazil,,2,,,Table Tennis,Team
,,,,,,Australia,1 B,1,,,Canoe Sprint,Team
,,,,,,Mexico,,3,,,Diving,Team
,,,,,,Denmark,1 S,9,,,Swimming,Team
,,,,,,Lithuania,,1,,,Rowing,Team
,,,,,,Ukraine,,2,,,Equestrian Jumping,Team
,,,,,,"Hong Kong, China",,3,,,Table Tennis,Team
,,,,,,Brazil,,1,,,Canoe Sprint,Team
,,,,,,United States of America,,1,,,Gymnastics Rhythmic,Team
,,,,,,Italy,,1,,,Swimming,Team
,,,,,,Belgium,,4,,,Athletics,Team
,,,,,,Romania,,4,,,Handball,Team
,,,,,,Switzerland,,3,,,Swimming,Team
,,,,,,France,,4,,,Rowing,Team
,,,,,,Germany,1 G,1,,,Canoe Sprint,Team
,,,,,,New Zealand,,1,,,Sailing,Team
,,,,,,Greece,,1,,,Swimming,Team
,,,,,,Indonesia,1 G 2 S,6,,,Badminton,Team
,,,,,,Brazil,1 S 1 B,7,,,Basketball,Team
,,,,,,Germany,1 G,11,,,Gymnastics Artistic,Team
,,,,,,Canada,1 B,4,,,Diving,Team
,,,,,,Australia,,6,,,Badminton,Team
,,,,,,People's Republic of China,5 G 3 S 4 B,7,,,Badminton,Team
,,,,,,United States of America,4 G 1 S 4 B,10,,,Tennis,Team
,,,,,,Spain,1 G,1,,,Canoe Sprint,Team
,,,,,,Brazil,,1,,,Tennis,Team
,,,,,,Italy,1 G 1 S,4,,,Water Polo,Team
,,,,,,Japan,1 S,8,,,Sailing,Team
,,,,,,Poland,,2,,,Tennis,Team
,,,,,,Republic of Korea,1 B,3,,,Table Tennis,Team
,,,,,,Great Britain,2 G 1 S 1 B,10,,,Tennis,Team
,,,,,,Spain,,4,,,Swimming,Team
,,,,,,Denmark,3 S 1 B,9,,,Football,Team
,,,,,,Sweden,,2,,,Equestrian Eventing,Team
,,,,,,Colombia,,1,,,Rugby,Team
,,,,,,Netherlands,,1,,,Archery,Team
,,,,,,Mozambique,,1,,,Canoe Sprint,Team
,,,,,,Austria,,2,,,Rowing,Team
,,,,,,United States of America,3 G 2 B,11,,,Volleyball,Team
,,,,,,People's Republic of China,2 S 1 B,6,,,Synchronized Swimming,Team
,,,,,,Canada,2 B,2,,,Cycling Track,Team
,,,,,,Hungary,,1,,,Canoe Sprint,Team
,,,,,,France,1 S,5,,,Handball,Team
,,,,,,Ireland,,1,,,Sailing,Team
,,,,,,Japan,,1,,,Equestrian Dressage,Team
,,,,,,United States of America,1 S 1 B,5,,,Diving,Team
,,,,,,Switzerland,,1,,,Sailing,Team
,,,,,,Colombia,,1,,,Archery,Team
,,,,,,Japan,,1,,,Swimming,Team
,,,,,,Italy,,1,,,Fencing,Team
,,,,,,Republic of Korea,2 G 3 S 1 B,9,,,Handball,Team
,,,,,,Bulgaria,,6,,,Rowing,Team
,,,,,,Germany,,3,,,Tennis,Team
,,,,,,Great Britain,,4,,,Synchronized Swimming,Team
,,,,,,Russian Federation,,3,,,Badminton,Team
,,,,,,Russian Federation,,1,,,Swimming,Team
,,,,,,Brazil,1 S,1,,,Canoe Sprint,Team
,,,,,,Poland,,1,,,Table Tennis,Team
,,,,,,Canada,3 S 2 B,13,,,Swimming,Team
,,,,,,Sweden,,2,,,Equestrian Dressage,Team
,,,,,,Italy,,1,,,Canoe Sprint,Team
,,,,,,France,1 B,5,,,Rowing,Team
,,,,,,Belarus,,1,,,Rowing,Team
,,,,,,Australia,,4,,,Synchronized Swimming,Team
,,,,,,Netherlands,1 S,1,,,Rowing,Team
,,,,,,Australia,,4,,,Cycling Track,Team
,,,,,,United States of America,,1,,,Badminton,Team
,,,,,,Singapore,,1,,,Sailing,Team
,,,,,,Ukraine,1 B,2,,,Athletics,Team
,,,,,,France,7 G 5 S 4 B,21,,,Fencing,Team
,,,,,,New Zealand,1 G 1 B,6,,,Rowing,Team
,,,,,,Bahamas,1 G 1 S 2 B,6,,,Athletics,Team
,,,,,,Italy,7 G 3 S 1 B,19,,,Cycling Track,Team
,,,,,,Spain,,2,,,Equestrian Dressage,Team
,,,,,,People's Republic of China,1 S 1 B,7,,,Rowing,Team
,,,,,,United States of America,,1,,,Rugby,Team
,,,,,,Portugal,,1,,,Canoe Sprint,Team
,,,,,,Netherlands,1 G 1 S 2 B,9,,,Rowing,Team
,,,,,,France,,1,,,Rugby,Team
,,,,,,Austria,,3,,,Sailing,Team
,,,,,,South Africa,,2,,,Rowing,Team
,,,,,,Croatia,2 G 1 B,5,,,Handball,Team
,,,,,,United States of America,1 G 3 S 1 B,10,,,Sailing,Team
,,,,,,People's Republic of China,3 G 1 S 3 B,6,,,Badminton,Team
,,,,,,Croatia,1 G 2 S,6,,,Water Polo,Team
,,,,,,Italy,,9,,,Swimming,Team
,,,,,,Netherlands,,5,,,Tennis,Team
,,,,,,Finland,,3,,,Swimming,Team
,,,,,,Czech Republic,1 B,1,,,Canoe Sprint,Team
,,,,,,Mexico,,1,,,Fencing,Team
,,,,,,Great Britain,2 G 3 S 2 B,17,,,Athletics,Team
,,,,,,People's Republic of China,1 G 1 B,7,,,Tennis,Team
,,,,,,Brazil,1 S,5,,,Football,Team
,,,,,,United States of America,1 G,1,,,Swimming,Team
,,,,,,France,2 G 1 S 1 B,7,,,Handball,Team
,,,,,,Italy,,5,,,Beach Volleyball,Team
,,,,,,Tunisia,,5,,,Handball,Team
,,,,,,Sweden,,2,,,Equestrian Jumping,Team
,,,,,,Sweden,,1,,,Sailing,Team
,,,,,,Poland,,2,,,Sailing,Team
,,,,,,Italy,,2,,,Athletics,Team
,,,,,,France,,1,,,Canoe Sprint,Team
,,,,,,Poland,2 G,4,,,Rowing,Team
,,,,,,United States of America,1 G 2 S 1 B,17,,,Gymnastics Artistic,Team
,,,,,,Egypt,,1,,,Beach Volleyball,Team
,,,,,,Poland,,1,,,Beach Volleyball,Team
,,,,,,Netherlands,,2,,,Equestrian Eventing,Team
,,,,,,Belarus,,4,,,Tennis,Team
,,,,,,Brazil,,1,,,Diving,Team
,,,,,,Italy,2 B,11,,,Rowing,Team
,,,,,,Great Britain,2 G 6 S 1 B,19,,,Rowing,Team
,,,,,,Angola,,1,,,Rowing,Team
,,,,,,Algeria,,2,,,Football,Team
,,,,,,Netherlands,,5,,,Badminton,Team
,,,,,,Australia,,16,,,Water Polo,Team
,,,,,,Slovenia,,3,,,Swimming,Team
,,,,,,Russian Federation,2 G 1 B,5,,,Fencing,Team
,,,,,,Spain,2 G 1 S,11,,,Sailing,Team
,,,,,,Germany,3 G 1 S,9,,,Cycling Track,Team
,,,,,,People's Republic of China,,4,,,Hockey,Team
,,,,,,Republic of Korea,,7,,,Fencing,Team
,,,,,,Israel,,6,,,Sailing,Team
,,,,,,Brazil,,2,,,Fencing,Team
,,,,,,France,1 G 2 S 1 B,11,,,Rowing,Team
,,,,,,Germany,,1,,,Gymnastics Rhythmic,Team
,,,,,,Australia,1 S,1,,,Rowing,Team
,,,,,,Denmark,,2,,,Equestrian Dressage,Team
,,,,,,Italy,,2,,,Sailing,Team
,,,,,,Switzerland,,1,,,Canoe Slalom,Team
,,,,,,Russian Federation,,1,,,Canoe Slalom,Team
,,,,,,Malaysia,,2,,,Diving,Team
,,,,,,Russian Federation,5 G,5,,,Synchronized Swimming,Team
,,,,,,Romania,1 S,7,,,Tennis,Team
,,,,,,Nigeria,1 G 1 B,6,,,Football,Team
,,,,,,Japan,,6,,,Rowing,Team
,,,,,,Brazil,,1,,,Synchronized Swimming,Team
,,,,,,Great Britain,4 B,11,,,Athletics,Team
,,,,,,Italy,,9,,,Tennis,Team
,,,,,,Brazil,,7,,,Tennis,Team
,,,,,,Italy,,4,,,Synchronized Swimming,Team
,,,,,,United States of America,1 B,3,,,Fencing,Team
,,,,,,Poland,,1,,,Canoe Slalom,Team
,,,,,,Great Britain,1 S,1,,,Rugby,Team
,,,,,,Brazil,,1,,,Diving,Team
,,,,,,Fiji,,1,,,Rugby,Team
,,,,,,Germany,1 G 1 S 1 B,6,,,Hockey,Team
,,,,,,Canada,1 G 1 S,9,,,Rowing,Team
,,,,,,Denmark,1 S,7,,,Badminton,Team
,,,,,,Tunisia,,1,,,Rowing,Team
,,,,,,Netherlands,,6,,,Rowing,Team
,,,,,,Switzerland,,4,,,Beach Volleyball,Team
